query,intent
What medicines have been prescribed to me?,get-prescriptions
Mujhe fever ka ilaj batao,General
Check my appointment status,get-appointment
Mujhe ek appointment set karna hai kal ke liye,set-appointment
How can I take care of my health?,General
Show the medicines I was given,get-prescriptions
Tell me about healthy eating habits,General
How can I prevent flu?,General
How can I prevent flu?,General
Can I sign in with my email?,login
Log me in,login
What is my policy limit?,get-insurance
Tell me about healthy eating habits,General
I need to fix a doctor visit,set-appointment
Can I see my medical bills?,get-payment
Can I see my medical coverage?,get-insurance
Can you reserve a time slot with the doctor?,set-appointment
I need to check my payment history,get-payment
How to manage high blood pressure?,General
Mujhe fever ka ilaj batao,General
Mujhe login karna hai,login
I need to see my health insurance,get-insurance
How can I login to my account?,login
How can I prevent flu?,General
Tell me about healthy eating habits,General
Fetch my prescribed medicines,get-prescriptions
Can I sign in with my email?,login
Open my account page,login
Can you fetch my appointment details?,get-appointment
How can I take care of my health?,General
Tell me about healthy eating habits,General
I need to fix a doctor visit,set-appointment
Can you reserve a time slot with the doctor?,set-appointment
Mujhe mere prescriptions dikhaiye,get-prescriptions
Fetch my insurance policy details,get-insurance
I need to check my payment history,get-payment
Open my account page,login
General tips for good health,General
Fetch my prescribed medicines,get-prescriptions
Show the medicines I was given,get-prescriptions
Do I have any pending payments?,get-payment
How to manage high blood pressure?,General
Show my payment details,get-payment
Can you fetch my appointment details?,get-appointment
I need to check my payment history,get-payment
Mujhe fever ka ilaj batao,General
Mujhe ek appointment set karna hai kal ke liye,set-appointment
I need access to my profile,login
Mujhe mere prescriptions dikhaiye,get-prescriptions
Mujhe ek appointment set karna hai kal ke liye,set-appointment
Fetch my insurance policy details,get-insurance
Mujhe apna insurance dekhna hai,get-insurance
What precautions should I take for heart health?,General
Can you reserve a time slot with the doctor?,set-appointment
I need to check my payment history,get-payment
Mujhe fever ka ilaj batao,General
Login using my credentials,login
Schedule a visit on Monday,set-appointment
Show me all my paid bills,get-payment
What is a balanced diet?,General
What is my policy limit?,get-insurance
What is a balanced diet?,General
What are my current prescriptions?,get-prescriptions
I need to fix a doctor visit,set-appointment
What are the symptoms of diabetes?,General
Show me all my paid bills,get-payment
How can I login to my account?,login
Show my payment details,get-payment
What are my current prescriptions?,get-prescriptions
Mujhe fever ka ilaj batao,General
Can you set an appointment for me next week?,set-appointment
Schedule an appointment for next Friday,set-appointment
Schedule an appointment for next Friday,set-appointment
Show my insurance details,get-insurance
Fetch my payment records,get-payment
Do I have any pending payments?,get-payment
I need to check my payment history,get-payment
Mujhe login karna hai,login
Can you fetch my policy information?,get-insurance
Tell me about my policy coverage,get-insurance
Login using my credentials,login
Can I see my medicine list?,get-prescriptions
Mera agla appointment kab hai?,get-appointment
What are my current prescriptions?,get-prescriptions
Mera agla appointment kab hai?,get-appointment
Mujhe apna insurance dekhna hai,get-insurance
Show me my appointment details,get-appointment
Schedule a visit on Monday,set-appointment
I need my prescription details,get-prescriptions
Show my prescriptions,get-prescriptions
Tell me about healthy eating habits,General
Do I have any appointments this week?,get-appointment
Show me my appointment details,get-appointment
Show the medicines I was given,get-prescriptions
Fetch my prescribed medicines,get-prescriptions
Show me my appointment details,get-appointment
Can you reserve a time slot with the doctor?,set-appointment
Show my prescriptions,get-prescriptions
How can I take care of my health?,General
Fetch my insurance policy details,get-insurance
Do I have any appointments this week?,get-appointment
When is my next appointment?,get-appointment
Mujhe fever ka ilaj batao,General
What precautions should I take for heart health?,General
Can you reserve a time slot with the doctor?,set-appointment
Tell me about healthy eating habits,General
What are my scheduled visits?,get-appointment
I need to fix a doctor visit,set-appointment
Can you set an appointment for me next week?,set-appointment
What medicines have been prescribed to me?,get-prescriptions
I want to see my appointments,get-appointment
Book an appointment for tomorrow at 5 PM,set-appointment
Do I have any pending payments?,get-payment
Check my appointment status,get-appointment
Can I see my medical bills?,get-payment
What medicines have been prescribed to me?,get-prescriptions
What precautions should I take for heart health?,General
What medicines have been prescribed to me?,get-prescriptions
Log me in,login
Check my health insurance,get-insurance
Fetch my insurance policy details,get-insurance
Book an appointment for tomorrow at 5 PM,set-appointment
Open my account page,login
Mujhe fever ka ilaj batao,General
Show my insurance details,get-insurance
Do I have any appointments this week?,get-appointment
Tell me about my due payments,get-payment
Book an appointment for tomorrow at 5 PM,set-appointment
Do I have any pending payments?,get-payment
Set my appointment at 3 PM tomorrow,set-appointment
Log me in,login
Set my appointment at 3 PM tomorrow,set-appointment
Open my account page,login
Tell me about healthy eating habits,General
Can I sign in with my email?,login
Can you set an appointment for me next week?,set-appointment
Tell me about my doctor visits,get-appointment
Schedule an appointment for next Friday,set-appointment
What is my policy limit?,get-insurance
Can I sign in with my email?,login
What medicines have been prescribed to me?,get-prescriptions
Can I see my medicine list?,get-prescriptions
Upcoming appointments details please,get-appointment
How can I login to my account?,login
General tips for good health,General
I want to login,login
Fetch my prescribed medicines,get-prescriptions
Set my appointment at 3 PM tomorrow,set-appointment
Check my insurance status,get-insurance
Book an appointment for tomorrow at 5 PM,set-appointment
Mere payment records kahan hain?,get-payment
Check my insurance status,get-insurance
Show my insurance details,get-insurance
Login to my account,login
Tell me about my due payments,get-payment
Show my insurance details,get-insurance
Check my appointment status,get-appointment
